Alternative New Code,D365 Name,Serial Required
1050001160,"DRILL, HSS, STD, 5 MM",no
1050003780,"SANDPAPER, WATER, 1200 GRIT",no
1050003950,"SANDPAPER, WATER, 600 GRIT",no
1050002250,"FLASHBACK, ACETELEEN, REGULATOR SIDE",no
2070040080,"WELDING GUN, ARCAIR",no
1050008260,"WELDING WIRE, MICRO, 1.6MM, 15KG",no
2070038500,SOLDERING IRON,no
1050008270,SOLDERING WIRE,no
2070040090,"WELDING MACHINE, CO2, 380V & 220V SUPPLY",no
2070040100,"WELDING MACHINE, INVERTER, 200A",no
2070039830,"TORCH, CUTTING AND WELDING, COMPLETE SET",no
1030003850,"DIFFUSER, GAS, MIG WELDING TORCH",no
1050007950,"BRAZING ROD, 2.4mm",no
2070040110,"WELDING MACHINE, CO2, 380V SUPPLY",no
2070039840,"TORCH, CUTTING, HARRIS",no
1050007960,"BRAZING ROD, COPPER TO COPPER, RE-WINDING, 2mm, CD FREE",no
1050008280,"WELDING WIRE, 1.6mm, 6000",no
1050007970,"WELDING ROD, 3.2mm, CAST IRON",no
1050007480,"POWDER, WELDING, NWC580-50-PW1, LSN DIFFUSION",no
1050007490,"POWDER, WELDING, DELORO 22 S, KENNAMETAL",no
1050003960,"SANDPAPER, WATER, 1000 GRIT",no
1050000170,"CUTTING DISC, METAL, 180MM",no
1050002670,"GRINDING DISC, METAL, 180MM",no
1050000180,"CUTTING DISC, METAL, 125MM",no
1050002300,"GRINDING DISC, METAL, 125MM",no
1050002310,"FLAPPER WHEEL, GRIT 60, 40 X 25",no
2070040120,"GOUGING TORCH, F3 CARBOGRAFITE,  Ø1/2'' , 800A",no
1010001300,"SCREEN, WELDING MASK, PLATE, 104 X 115mm",no
2020015460,"CARBON BRUSH, GRINDER, 12 X 19 X 10 mm",no
2020015470,"CARBON BRUSH, GRINDER, 19 X 38 X 65 mm",no
1050008660,"REGULATOR, PRESSURE, CO2",no
1050007440,"WELDING ELECTRODE, UTP, 85 FN, 3.2MM",no
2020015480,"CARBON BRUSH,  65 x 36 x 16 mm",no
1050008290,"WELDING WIRE, 1.2mm, SFA, AWS A5.36, ESAB, 15 KG",no
1050007450,"WELDING ELECTRODE, 2.5mm, ASME SFA-5.4/E309MOL-17, ESAB, 2KG",no
1050007460,"WELDING ELECTRODE, 3.25mm, ASME SFA-5.1 / E6013, ESAB, 5 KG",no
1050008300,"WELDING WIRE, 1.6mm, OK TUBRODUR 1400, ESAB, 12.5 KG",no
1050007980,"WELDING ROD, OVERLAY-62, 5/32""",no
1050007500,"METAL POWDER, SPRAY WELDING TORCH, QH /2/H",no
1050003540,"NOZZLE, CUTTING TORCH, ANME 311, N°8 AC",no
1050002680,"GRINDING CUP, 08 MM",no
1050002690,"GRINDING CUP, 09 MM",no
1050002700,"GRINDING CUP, 10 MM",no
1050002710,"GRINDING CUP, 07 MM",no
1050002720,"GRINDING CUP, 11 MM",no
1050002730,"GRINDING CUP, 12 MM",no
1050007470,"ELECTRODE, WELDING, E7018 1/4""",no
1050008310,"WELDING WIRE, 1.2, AWS A5.9/ASME SFA 5.9 ER312",no
1040000110,"SCREEN, WELDING MASK, PLATE, 47 X 105mm",no
1050003970,"SANDPAPER, 220 GRIT",no
1050007990,"WELDING ROD, OVERLAY-62, 1/8""",no
1050008000,"WELDING ROD, NI-99, 1/8""",no
1050008670,"ROD, 1/4"", A5",no
2050027310,"MAGNET SQUARES, WELDING, ADJUST-O, MSA46-HD",no
1010001310,"METAL CUT OFF WHEEL, ULTRA THIN, 125 X 1.0mm, EHT A60R SG",no
1050008010,"SOLDER, ELECTRODE, 1/8 "", UTP 65, 5KG",no
1050003980,"SANDPAPER, WATER, #800",no
1050003550,"NOZZLE, SC, HP2-1 5/8, TIP-HD END",no
1050008320,"WELDING WIRE, HARDFACE, 1.6mm, 2YA43-O, 15KG",no
2070041770,"WELDER, MULTI PROCESS, 200i WIA, WELDMATIC",no
1050008820,"WELDING KIT, OXY/ACET, COMPATIBLE, 801 REG HARRIS",no
1030003450,"SILICONE, GASKET MARKER, 1B, 85G",no
1030003460,"SILICONE, LOCTITE, GASKET ELIMINATOR, 518, 25ML",no
1050008330,"WELDING WIRE, AUSTMIG, ES6, 0.9MM, WIA, 15KG",no
